location,price,bedrooms,bathrooms,area,type
Bole,8500000,3,2,180,Apartment
Bole,12000000,4,3,250,Villa
Kazanchis,6500000,2,2,120,Apartment
Kazanchis,9500000,3,2,170,Apartment
CMC,5500000,3,2,150,Apartment
CMC,7800000,4,3,220,Villa
Lebu,3500000,2,1,100,Apartment
Lebu,4500000,3,2,140,House
Bole,15000000,5,4,320,Villa
Kazanchis,5000000,2,1,110,Apartment
CMC,9000000,4,3,240,Villa
Lebu,6000000,3,2,160,House
Bole,7000000,3,2,155,Apartment
Kazanchis,11000000,4,3,230,Villa
CMC,6200000,3,2,145,Apartment
Lebu,4000000,2,1,95,Apartment
Bole,10000000,4,3,210,Apartment
Kazanchis,7200000,3,2,150,Apartment
CMC,4800000,2,1,105,Apartment
Lebu,5200000,3,2,135,House
